Time,PID,Tickets,Pass,Stride,Runtime
32334,4,8,166338,128,3611
32334,6,2,166442,512,311
32334,7,4,166442,256,621
32334,8,8,166314,128,1240
32334,9,16,166250,64,2478
32334,10,32,166218,32,4954
32334,11,32,166239,32,4954
32334,12,32,166239,32,4954
32334,13,32,166239,32,4954
32334,14,32,166239,32,4954
32334,15,32,166233,32,978
32334,16,32,166233,32,978
32334,17,8,166329,128,246
32334,18,2,166713,512,63
32334,19,8,166329,128,246
32334,20,8,166329,128,246
32948,1,8,2944,128,23
32948,2,8,5632,128,20
32948,5,1,168490,1024,158
32948,4,8,168603,128,3744
32948,6,2,168490,512,315
32948,7,4,168490,256,629
32948,8,8,168490,128,1257
32948,9,16,168490,64,2513
32948,10,32,168490,32,5025
32948,11,32,168479,32,5024
32948,12,32,168479,32,5024
32948,13,32,168479,32,5024
32948,14,32,168479,32,5024
32948,15,32,168505,32,1049
32948,16,32,168505,32,1049
32948,17,8,168505,128,263
32948,18,2,168761,512,67
32948,19,8,168505,128,263
32948,20,8,168505,128,263
33563,1,8,2944,128,23
33563,2,8,5632,128,20
33563,5,1,171562,1024,161
33563,4,8,170817,128,3874
33563,6,2,171050,512,320
33563,7,4,170794,256,638
33563,8,8,170794,128,1275
33563,9,16,170730,64,2548
33563,10,32,170698,32,5094
33563,11,32,170719,32,5094
33563,12,32,170719,32,5094
33563,13,32,170719,32,5094
33563,14,32,170719,32,5094
33563,15,32,170713,32,1118
33563,16,32,170713,32,1118
33563,17,8,170809,128,281
33563,18,2,170809,512,71
33563,19,8,170809,128,281
33563,20,8,170809,128,281
34178,1,8,2944,128,23
34178,2,8,5632,128,20
34178,5,1,173610,1024,163
34178,4,8,173076,128,4007
34178,6,2,173098,512,324
34178,7,4,173098,256,647
34178,8,8,172970,128,1292
34178,9,16,172970,64,2583
34178,10,32,172970,32,5165
34178,11,32,172959,32,5164
34178,12,32,172959,32,5164
34178,13,32,172959,32,5164
34178,14,32,172959,32,5164
34178,15,32,172985,32,1189
34178,16,32,172953,32,1188
34178,17,8,172985,128,298
34178,18,2,173369,512,76
34178,19,8,172985,128,298
34178,20,8,172985,128,298
34794,1,8,2944,128,23
34794,2,8,5632,128,20
34794,5,1,175658,1024,165
34794,4,8,175308,128,4139
34794,6,2,175658,512,329
34794,7,4,175402,256,656
34794,8,8,175274,128,1310
34794,9,16,175210,64,2618
34794,10,32,175210,32,5235
34794,11,32,175199,32,5234
34794,12,32,175199,32,5234
34794,13,32,175199,32,5234
34794,14,32,175199,32,5234
34794,15,32,175193,32,1258
34794,16,32,175193,32,1258
34794,17,8,175289,128,316
34794,18,2,175417,512,80
34794,19,8,175289,128,316
34794,20,8,175289,128,316
35407,1,8,2944,128,23
35407,2,8,5632,128,20
35407,5,1,177706,1024,167
35407,4,8,177564,128,4271
35407,6,2,177706,512,333
35407,7,4,177450,256,664
35407,8,8,177450,128,1327
35407,9,16,177450,64,2653
35407,10,32,177450,32,5305
35407,11,32,177439,32,5304
35407,12,32,177439,32,5304
35407,13,32,177439,32,5304
35407,14,32,177439,32,5304
35407,15,32,177465,32,1329
35407,16,32,177465,32,1329
35407,17,8,177465,128,333
35407,18,2,177465,512,84
35407,19,8,177465,128,333
35407,20,8,177465,128,333
